Year,CIK 1,CIK 2,Interlocking Board Members
2000,929987,1018952,mark novitch
2000,5187,353569,m polan
2000,5187,64803,i seidenberg
2000,881695,1013243,james martin
2000,879106,1017259,r fletcher
2000,732485,815094,h termeer
2000,744218,849043,h penner
2000,831547,919722,joseph rubinfeld
2000,831547,873303,joseph rubinfeld
2000,887247,891293,j bowman
2000,755806,816284,j bowman
2000,755806,891293,j bowman
2000,816284,891293,j bowman
2000,873591,949173,w hockmeyer
2000,875045,1036968,william young
2000,313927,727510,rosina dixon
2000,874255,906709,irwin lerner
2000,912183,1002811,w maupay
2000,727510,1030653,randy thurman
2000,64803,78003,w cornwell
2000,932352,1027702,stanley crooke
2000,802724,882104,j saxe
2000,802724,892112,a wiklund
2000,203077,917520,s essig
2000,882194,1030339,d ludvigson
2000,755806,874255,f craves
2000,727510,890465,p tombros
2000,892112,1022622,a evnin
2000,932903,936402,z horovitz
2000,881524,936402,joseph smith
2000,320193,919722,l ellison
2000,897075,921114,nelson levy
2000,911216,932903,j prendergast
2001,3116,1018710,j kapoor
2001,929987,1018952,mark novitch
2001,881695,1013243,james martin
2001,884731,1018354,h berger
2001,732485,904973,h termeer
2001,732485,815094,h termeer
2001,744218,907562,j littlechild
2001,744218,849043,h penner
2001,744218,1110009,h penner
2001,849043,1110009,h penner
2001,831547,919722,joseph rubinfeld
2001,831547,873303,joseph rubinfeld
2001,816284,887247,j bowman
2001,882194,887227,m casey
2001,949858,1107332,c henney
2001,9892,1030339,r herzlinger
2001,12208,882796,j bennett
2001,816284,944522,f cary
2001,755806,887247,a steigrod
2001,706539,1001233,w rutter
2001,313927,727510,rosina dixon
2001,892112,1042561,s saks
2001,912183,1100412,j zabriskie
2001,912183,1002811,w maupay
2001,886163,892112,john groom
2001,732485,907562,c anagnostopoulos;;h blair
2001,904973,907562,h blair
2001,726512,865231,e step
2001,726512,929987,e step
2001,865231,929987,e step
2001,901219,939767,jurgen drews
2001,861838,880431,j wyngaarden
2001,875045,1110803,w rastetter
2001,318154,875045,f johnson
2001,318771,1001233,h boyer
2001,939767,1030339,s papadopoulos
2001,865231,914475,s sherwin
2001,203077,917520,s essig
2001,914201,1052547,j cavanaugh
2001,67686,887023,f carlucci
2001,72444,854691,geoffrey cox
2001,882796,932903,z horovitz
2001,882796,936402,z horovitz
2001,882796,914201,z horovitz
2001,932903,936402,z horovitz
2001,727510,1022622,a higgins
2001,1107332,1108205,r kunath
2001,726512,911326,c sanders
2001,726512,875320,c sanders
2001,726512,880431,c sanders
2001,318771,911326,c sanders
2001,318771,875320,c sanders
2001,318771,880431,c sanders
2001,875320,880431,c sanders
2001,889057,1002637,a heidrich;;m levin
2001,826083,1108109,m a miles
2001,1061892,1061893,r johansen
2001,351012,907562,t kempner
2001,885725,1108205,j r tobin
2001,939767,1124140,lance willsey
2002,929987,1018952,mark novitch
2002,881695,1013243,james martin
2002,732485,904973,h termeer
2002,732485,815094,h termeer
2002,744218,1110009,h penner
2002,816284,887247,j bowman
2002,949858,1107332,c henney
2002,9892,815838,r herzlinger
2002,9892,1030339,r herzlinger
2002,815838,1030339,r herzlinger
2002,887568,913443,d mulvena
2002,816284,944522,f cary
2002,885725,1002637,ernest mario
2002,755806,887247,a steigrod
2002,313927,727510,rosina dixon
2002,886744,1033025,p zenner
2002,921506,1052837,r greer
2002,725058,944522,s carter
2002,708717,944522,s carter
2002,732485,907562,c anagnostopoulos;;h blair
